Date ;time ;P ;Q ;S;fp;I;Día;
1/12/2016;00:00:00;509,76;60,63441264;513,3534743;0,993;1,424926762;jueves;
1/12/2016;01:00:00;488,56;85,00148143;495,8993098;0,9852;1,376478846;jueves;
1/12/2016;02:00:00;738,26;126,6589174;749,0462662;0,9856;2,079144536;jueves;
1/12/2016;03:00:00;821,36;36,75991156;822,1821822;0,999;2,282149539;jueves;
1/12/2016;04:00:00;804,52;128,9352413;814,7863075;0,9874;2,261620644;jueves;
1/12/2016;05:00:00;1668,02;160,5452708;1675,72835;0,9954;4,651356799;jueves;
1/12/2016;06:00:00;1713,9;276,8892572;1736,122366;0,9872;4,818993825;jueves;
1/12/2016;07:00:00;1732,28;348,1122315;1766,911465;0,9804;4,904455816;jueves;
1/12/2016;08:00:00;1761,26;293,4764221;1785,54339;0,9864;4,95617287;jueves;
1/12/2016;09:00:00;1809,2;321,2355503;1837,497461;0,9846;5,10038295;jueves;
1/12/2016;10:00:00;1636,66;167,5614243;1645,215119;0,9948;4,566660537;jueves;
1/12/2016;11:00:00;1620,56;159,3560604;1628,376206;0,9952;4,519920388;jueves;
1/12/2016;12:00:00;1298,82;51,9839956;1299,859888;0,9992;3,60805027;jueves;
1/12/2016;13:00:00;1215,56;119,530812;1221,42283;0,9952;3,390330767;jueves;
1/12/2016;14:00:00;1302,2;138,3938278;1309,533387;0,9944;3,634901219;jueves;
1/12/2016;15:00:00;1246,54;162,5962042;1257,099637;0,9916;3,489359682;jueves;
1/12/2016;16:00:00;976,8;112,7848302;983,2897121;0,9934;2,729339327;jueves;
1/12/2016;17:00:00;949,18;106,1906372;955,1016301;0,9938;2,651097035;jueves;
1/12/2016;18:00:00;1201,52;99,33335712;1205,619105;0,9966;3,346464013;jueves;
1/12/2016;19:00:00;1034,14;107,9085034;1039,754675;0,9946;2,886070393;jueves;
1/12/2016;20:00:00;515,16;83,22671668;521,8395462;0,9872;1,448481743;jueves;
1/12/2016;21:00:00;515,62;42,62789267;517,3790889;0,9966;1,436100751;jueves;
1/12/2016;22:00:00;454,04;91,72052671;463,2115895;0,9802;1,285746807;jueves;
1/12/2016;23:00:00;450,62;73,9512235;456,6477503;0,9868;1,267527411;jueves;
1/12/2016;00:00:00;523,8;18,15313419;524,1144687;0,9994;1,454796296;jueves;
2/12/2016;01:00:00;575,86;75,11403577;580,7382009;0,9916;1,611968061;viernes;
2/12/2016;02:00:00;554,62;89,60168026;561,8111831;0,9872;1,559431913;viernes;
2/12/2016;03:00:00;786,82;38,58088187;787,7653184;0,9988;2,186617878;viernes;
2/12/2016;04:00:00;683;117,1782849;692,9788961;0,9856;1,923517078;viernes;
2/12/2016;05:00:00;1455,78;180,5111594;1466,928658;0,9924;4,071786805;viernes;
2/12/2016;06:00:00;1137,04;140,9886169;1145,747682;0,9924;3,180277562;viernes;
2/12/2016;07:00:00;1174,52;57,59133902;1175,931117;0,9988;3,2640584;viernes;
2/12/2016;08:00:00;1255,66;202,8582558;1271,940843;0,9872;3,53055475;viernes;
2/12/2016;09:00:00;1542,08;311,5152626;1573,229953;0,9802;4,366849697;viernes;
2/12/2016;10:00:00;1417,5;145,1238003;1424,90953;0,9948;3,955153368;viernes;
2/12/2016;11:00:00;1445,96;253,3062664;1467,979695;0,985;4,074704194;viernes;
2/12/2016;12:00:00;1332,04;270,4822583;1359,22449;0,98;3,772829928;viernes;
2/12/2016;13:00:00;1223,78;202,3810547;1240,401378;0,9866;3,443009951;viernes;
2/12/2016;14:00:00;928,38;87,37837703;932,4829249;0,9956;2,588313787;viernes;
2/12/2016;15:00:00;978,9;0;978,9;1;2,717154704;viernes;
2/12/2016;16:00:00;998,84;172,5773535;1013,639131;0,9854;2,813580891;viernes;
2/12/2016;17:00:00;1057,84;180,1951495;1073,077703;0,9858;2,97856587;viernes;
2/12/2016;18:00:00;871,82;131,5900152;881,6949838;0,9888;2,447340559;viernes;
2/12/2016;19:00:00;815,88;143,8992124;828,4727864;0,9848;2,299610511;viernes;
2/12/2016;20:00:00;452,02;20,2301247;452,4724725;0,999;1,255937999;viernes;
2/12/2016;21:00:00;452,16;56,0661129;455,6227328;0,9924;1,264682247;viernes;
2/12/2016;22:00:00;426,84;17,08385202;427,1817454;0,9992;1,18573796;viernes;
2/12/2016;23:00:00;457,56;69,06279661;462,7427184;0,9888;1,284445351;viernes;
2/12/2016;00:00:00;424,7;72,86327611;430,9050325;0,9856;1,196072772;viernes;
3/12/2016;01:00:00;419,84;79,82656433;427,3615635;0,9824;1,186237085;sábado;
3/12/2016;02:00:00;483,82;62,3432593;487,820125;0,9918;1,354053272;sábado;
3/12/2016;03:00:00;434,16;54,54618173;437,5730699;0,9922;1,214581393;sábado;
3/12/2016;04:00:00;555,48;92,55889702;563,1386861;0,9864;1,563116692;sábado;
3/12/2016;05:00:00;523,8;102,4618025;533,7273283;0,9814;1,481478926;sábado;
3/12/2016;06:00:00;756,46;99,85401474;763,0219891;0,9914;2,117937264;sábado;
3/12/2016;07:00:00;604,16;107,2726454;613,6095876;0,9846;1,703209907;sábado;
3/12/2016;08:00:00;779,08;34,867673;779,8598599;0,999;2,164674519;sábado;
3/12/2016;09:00:00;652,94;29,22228579;653,5935936;0,999;1,81419441;sábado;
3/12/2016;10:00:00;531,92;23,80604383;532,4524525;0,999;1,477940225;sábado;
3/12/2016;11:00:00;818,92;124,7231339;828,3633421;0,9886;2,299306724;sábado;
3/12/2016;12:00:00;604,68;120,8740205;616,6428717;0,9806;1,711629461;sábado;
3/12/2016;13:00:00;577,16;110,3773675;587,6196294;0,9822;1,631068996;sábado;
3/12/2016;14:00:00;640,3;122,4524021;651,9038892;0,9822;1,809504259;sábado;
3/12/2016;15:00:00;507,7;73,79841469;513,0355699;0,9896;1,424044348;sábado;
3/12/2016;16:00:00;712,26;58,8847268;714,6899458;0,9966;1,983780926;sábado;
3/12/2016;17:00:00;991,9;198,2783306;1011,523557;0,9806;2,807708644;sábado;
3/12/2016;18:00:00;977,98;107,6172255;983,8832998;0,994;2,730986961;sábado;
3/12/2016;19:00:00;582,94;63,0591991;586,3407765;0,9942;1,627519256;sábado;
3/12/2016;20:00:00;904,92;146,1944259;916,6531605;0,9872;2,544374755;sábado;
3/12/2016;21:00:00;962,84;0;962,84;1;2,672576602;sábado;
3/12/2016;22:00:00;579,44;50,65890039;581,650271;0,9962;1,614499714;sábado;
3/12/2016;23:00:00;902,78;114,8840977;910,0604839;0,992;2,526075314;sábado;
3/12/2016;00:00:00;970,86;173,5249435;986,2454287;0,9844;2,737543576;sábado;
4/12/2016;01:00:00;943,12;113,7897889;949,9597099;0,9928;2,636824492;domingo;
4/12/2016;02:00:00;957,38;164,2520445;971,3676948;0,9856;2,696247116;domingo;
4/12/2016;03:00:00;873,34;174,5784829;890,617989;0,9806;2,472108345;domingo;
4/12/2016;04:00:00;1143,14;75,95270871;1145,660453;0,9978;3,180035437;domingo;
4/12/2016;05:00:00;1063,62;67,37033293;1065,751503;0,998;2,958230371;domingo;
4/12/2016;06:00:00;1427,98;268,3247019;1452,971103;0,9828;4,033044507;domingo;
4/12/2016;07:00:00;1060,48;176,7063785;1075,101379;0,9864;2,984183031;domingo;
4/12/2016;08:00:00;1268,52;155,184725;1277,97703;0,9926;3,54730953;domingo;
4/12/2016;09:00:00;1079,34;209,961966;1099,572127;0,9816;3,052107037;domingo;
4/12/2016;10:00:00;958,8;74,43591424;961,6850552;0,997;2,669370796;domingo;
4/12/2016;11:00:00;1072,02;111,8611346;1077,840338;0,9946;2,991785621;domingo;
4/12/2016;12:00:00;886,68;167,6032083;902,381437;0,9826;2,504760411;domingo;
4/12/2016;13:00:00;866,78;165,7649432;882,4882916;0,9822;2,449542561;domingo;
4/12/2016;14:00:00;751,64;114,476257;760,3075056;0,9886;2,110402611;domingo;
4/12/2016;15:00:00;824,96;113,9175128;832,7882092;0,9906;2,311588927;domingo;
4/12/2016;16:00:00;788,92;54,75659211;790,8179631;0,9976;2,195091173;domingo;
4/12/2016;17:00:00;765,96;48,51636883;767,49499;0,998;2,130353072;domingo;
4/12/2016;18:00:00;712,46;72,94173034;716,1841576;0,9948;1,987928443;domingo;
4/12/2016;19:00:00;842,76;116,3754886;850,7571169;0,9906;2,361465627;domingo;
4/12/2016;20:00:00;738,58;97,49382414;744,9868872;0,9914;2,067876826;domingo;
4/12/2016;21:00:00;917,04;177,3907042;934,0395193;0,9818;2,592634461;domingo;
4/12/2016;22:00:00;930,62;41,64983551;931,5515516;0,999;2,585728553;domingo;
4/12/2016;23:00:00;930,14;64,55825253;932,3777065;0,9976;2,58802173;domingo;
4/12/2016;00:00:00;1008,82;103,2830986;1014,093285;0,9948;2,814841496;domingo;
5/12/2016;01:00:00;967,6;144,7149178;978,3619818;0,989;2,715661315;lunes;
5/12/2016;02:00:00;781,9;84,58158262;786,4614766;0,9942;2,182998775;lunes;
5/12/2016;03:00:00;951,08;117,9302872;958,3635631;0,9924;2,660151255;lunes;
5/12/2016;03:59:59;990,42;149,4911597;1001,63835;0,9888;2,780270052;lunes;
5/12/2016;04:59:59;1729,02;120,0061386;1733,179631;0,9976;4,810825609;lunes;
5/12/2016;05:59:59;1716,88;192,0779844;1727,591065;0,9938;4,795313299;lunes;
5/12/2016;06:59:59;1476,5;51,17048995;1477,386432;0,9994;4,100814683;lunes;
5/12/2016;07:59:59;1774,74;208,0309357;1786,890858;0,9932;4,959913066;lunes;
5/12/2016;08:59:59;1660,02;194,5837215;1671,385421;0,9932;4,639302032;lunes;
5/12/2016;09:59:59;1577,78;155,1493341;1585,389871;0,9952;4,400602255;lunes;
5/12/2016;10:59:59;1493,34;0;1493,34;1;4,145097361;lunes;
5/12/2016;11:59:59;1186,32;136,9767606;1194,201731;0,9934;3,314772553;lunes;
5/12/2016;12:59:59;1150,54;140,7516109;1159,117469;0,9926;3,217388379;lunes;
5/12/2016;13:59:59;999,96;152,2958836;1011,490997;0,9886;2,807618267;lunes;
5/12/2016;14:59:59;858,26;155,4012827;872,2154472;0,984;2,421027996;lunes;
5/12/2016;15:59:59;998,84;108,0489423;1004,667069;0,9942;2,788676936;lunes;
5/12/2016;16:59:59;1054,52;184,7329968;1070,57868;0,985;2,971629275;lunes;
5/12/2016;17:59:59;1083,94;157,559688;1095,331447;0,9896;3,040336086;lunes;
5/12/2016;18:59:59;864,98;165,4207072;880,6556709;0,9822;2,444455715;lunes;
5/12/2016;19:59:59;483,84;90,37203658;492,207528;0,983;1,366231484;lunes;
5/12/2016;20:59:59;513,7;90,60281586;521,6287571;0,9848;1,447896651;lunes;
5/12/2016;21:59:59;492,74;92,03438596;501,2614446;0,983;1,391362644;lunes;
5/12/2016;22:59:59;509,28;20,3834321;509,6877502;0,9992;1,41475173;lunes;
5/12/2016;23:59:59;454,04;70,37530723;459,4616474;0,9882;1,275338009;lunes;
6/12/2016;00:59:59;521,3;36,18188342;522,5541299;0,9976;1,450465229;martes;
6/12/2016;01:59:59;536,7;38,77764479;538,0990575;0,9974;1,493613633;martes;
6/12/2016;02:59:59;583,06;109,5599383;593,2641433;0,9828;1,6467366;martes;
6/12/2016;03:59:59;753,16;132,8370971;764,7847279;0,9848;2,122830137;martes;
6/12/2016;04:59:59;1431,88;175,1694132;1442,554906;0,9926;4,004132036;martes;
6/12/2016;05:59:59;1564,2;256,7007763;1585,123632;0,9868;4,399863248;martes;
6/12/2016;06:59:59;1417,86;130,3600094;1423,840129;0,9958;3,952185007;martes;
6/12/2016;07:59:59;1341,84;140,0158065;1349,125276;0,9946;3,744797315;martes;
6/12/2016;08:59:59;1566,42;266,8279571;1588,983567;0,9858;4,410577355;martes;
6/12/2016;09:59:59;1481,46;193,2387029;1494,009681;0,9916;4,14695621;martes;
6/12/2016;10:59:59;1432,3;152,2204574;1440,36605;0,9944;3,998056378;martes;
6/12/2016;11:59:59;1135,38;174,4573916;1148,704978;0,9884;3,188486193;martes;
6/12/2016;12:59:59;1076,04;215,0977063;1097,328166;0,9806;3,045878424;martes;
6/12/2016;13:59:59;866,12;174,0520966;883,4353325;0,9804;2,452171284;martes;
6/12/2016;14:59:59;1044,46;212,0866487;1065,77551;0,98;2,958297008;martes;
6/12/2016;15:59:59;820,02;157,7251811;835,0509165;0,982;2,317869574;martes;
6/12/2016;16:59:59;977,38;119,5680372;984,6665323;0,9926;2,733160998;martes;
6/12/2016;17:59:59;836,12;130,7105013;846,2753036;0,988;2,349025358;martes;
6/12/2016;18:59:59;951,5;193,2103156;970,9183673;0,98;2,694999907;martes;
6/12/2016;19:59:59;436,5;80,54029993;443,8682123;0,9834;1,232054961;martes;
6/12/2016;20:59:59;432,74;8,656098469;432,8265653;0,9998;1,201406413;martes;
6/12/2016;21:59:59;457,94;78,56606702;464,6306818;0,9856;1,289685814;martes;
6/12/2016;22:59:59;431,74;59,61834147;435,8368665;0,9906;1,209762174;martes;
6/12/2016;23:59:59;471,08;74,88398054;476,9947347;0,9876;1,324004993;martes;
7/12/2016;00:59:59;458,08;85,04276237;465,9072417;0,9832;1,293229189;miércoles;
7/12/2016;01:59:59;514,88;102,3756078;524,959217;0,9808;1,457141083;miércoles;
7/12/2016;02:59:59;553,58;54,43570611;556,25;0,9952;1,543995612;miércoles;
7/12/2016;03:59:59;598,64;112,4874995;609,1168091;0,9828;1,690739201;miércoles;
7/12/2016;04:59:59;1311,68;196,1757579;1326,268959;0,989;3,68135452;miércoles;
7/12/2016;05:59:59;1169,28;150,6691047;1178,947368;0,9918;3,272430676;miércoles;
7/12/2016;06:59:59;1138,98;167,1699381;1151,182535;0,9894;3,195363204;miércoles;
7/12/2016;07:59:59;1563,08;198,9111804;1575,685484;0,992;4,373665569;miércoles;
7/12/2016;08:59:59;1047,1;201,4024501;1066,293279;0,982;2,959734191;miércoles;
7/12/2016;09:59:59;1234,14;174,0615736;1246,354272;0,9902;3,459533531;miércoles;
7/12/2016;10:59:59;1211,68;152,2307847;1221,205402;0,9922;3,389727248;miércoles;
7/12/2016;11:59:59;1105,92;99,21438344;1110,361446;0,996;3,08205519;miércoles;
7/12/2016;12:59:59;938,74;156,4210034;951,6828873;0,9864;2,641607554;miércoles;
7/12/2016;13:59:59;869,1;117,3959137;876,9929364;0,991;2,43428898;miércoles;
7/12/2016;14:59:59;862,62;140,4665708;873,9817629;0,987;2,425930798;miércoles;
7/12/2016;15:59:59;1014,28;105,8361893;1019,786849;0,9946;2,830645249;miércoles;
7/12/2016;16:59:59;925,96;169,7941331;941,3989427;0,9836;2,613062178;miércoles;
7/12/2016;17:59:59;806,7;128,2349221;816,8286756;0,9876;2,267289691;miércoles;
7/12/2016;18:59:59;612,62;105,847121;621,6967729;0,9854;1,725657688;miércoles;
7/12/2016;19:59:59;549,86;56,2947251;552,7342179;0,9948;1,534236777;miércoles;
7/12/2016;20:59:59;491,44;26,03190196;492,1289806;0,9986;1,366013459;miércoles;
7/12/2016;21:59:59;512,44;87,91631083;519,9269481;0,9856;1,443172901;miércoles;
7/12/2016;22:59:59;463,04;92,0680575;472,1044046;0,9808;1,310430794;miércoles;
7/12/2016;23:59:59;526,76;92,27890736;534,7817259;0,985;1,484405641;miércoles;
8/12/2016;00:59:59;435,22;86,9993901;443,830308;0,9806;1,231949749;jueves;
8/12/2016;01:59:59;526,4;97,72640174;535,3946298;0,9832;1,486106892;jueves;
8/12/2016;02:59:59;511,98;90,90547041;519,9878123;0,9846;1,443341843;jueves;
8/12/2016;03:59:59;621,78;51,40446667;623,9012643;0,9966;1,731776745;jueves;
8/12/2016;04:59:59;1258,32;189,9272188;1272,572816;0,9888;3,532308931;jueves;
8/12/2016;05:59:59;1305,5;251,1039046;1329,429735;0,982;3,690127959;jueves;
8/12/2016;06:59:59;1441,5;166,4407583;1451,077109;0,9934;4,027787305;jueves;
8/12/2016;07:59:59;1327,7;168,9576824;1338,407258;0,992;3,715047071;jueves;
8/12/2016;08:59:59;1498,5;144,2291389;1505,424955;0,9954;4,178641841;jueves;
